ski_area,state_full,lat,long,website,year_opened,remove
Storrs Hill Ski Area,New Hampshire,43.63580561,-72.25214524,www.skistorrshill.com,1923,
Stowe Mountain Resort,Vermont,44.53093376,-72.78143386,www.stowe.com,1934,
Stratton,Vermont,43.11433796,-72.90552283,www.stratton.com,1962,
Sugar Bowl Resort,California,39.30173865,-120.3332735,www.sugarbowl.com,1939,
Sugar Mountain Resort,North Carolina,36.1308539,-81.85872276,www.skisugar.com,1969,
Sugarbush Resort,Vermont,44.13855063,-72.89415641,www.sugarbush.com,1958,
Sugarloaf,Maine,45.03311059,-70.31299448,www.sugarloaf.com,1951,
Suicide Six Ski Area,Vermont,43.66572885,-72.54320153,www.suicidesix.com,1937,
Summit Ski Area,Oregon,45.30352469,-121.745721,www.summitskiarea.com,1927,
Sun Valley Resort,Idaho,43.69557315,-114.3542566,www.sunvalley.com,1936,
Sunburst Sports Park,Wisconsin,43.49463648,-88.22407137,www.skisunburst.com,1961,
Sundance,Utah,40.3947604,-111.5887281,www.sundanceresort.com,1969,
Sunday River Resort,Maine,44.4740766,-70.85676541,www.sundayriver.com,1959,
Sundown Mountain Ski and Snowboard Resort,Iowa,42.51694833,-90.81852131,www.sundownmtn.com,1974,
Sunlight Mountain Resort,Colorado,39.40056141,-107.3386574,www.sunlightmtn.com,1966,
Sunrise Park Resort,Arizona,34.00035276,-109.5537785,www.sunriseskiparkaz.com,1972,
Swain Resort,New York,42.47724727,-77.85515426,www.swain.com,1947,
Swiss Valley Ski & Board Area,Michigan,41.95451976,-85.82686203,www.skiswissvalley.com,1960,
Tahoe Donner Ski Resort,California,39.35470878,-120.259309,www.skitahoedonner.com,1972,
Tamarack Resort,Idaho,44.67067722,-116.1223549,www.tamarackidaho.com,2004,
"Taos Ski Valley, Inc.",New Mexico,36.59544294,-105.4502212,www.skitaos.com,1955,
Telluride Ski & Golf Resort,Colorado,37.93976589,-107.8482603,www.tellurideskiresort.com,1972,
Terry Peak Ski Area,South Dakota,44.33523296,-103.8403186,www.terrypeak.com,1936,
Teton Pass Ski Area,Montana,47.93037332,-112.8109326,www.tetonpassresort.com,1967,
The Balsams Resort,New Hampshire,44.87087991,-71.30650454,www.thebalsamsresort.com,2020,
The Homestead,Michigan,44.91419979,-85.9641948,www.thehomesteadresort.com,1983,
The Rock Snowpark,Wisconsin,42.92064351,-88.01505264,https://www.rocksnowpark.com/,1987,
The Summit At Snoqualmie,Washington,47.42539859,-121.4159227,www.summitatsnoqualmie.com,1937,
The Villas at Tree Tops and Fairway White Lightning Snow Tubing,Pennsylvania,41.07895907,-75.02527723,www.fernwoodresortpoconos.com,1981,
Thunder Ridge Ski Area,New York,41.50914222,-73.58499983,www.thunderridgeski.com,1959,
